0,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,2,0,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,2,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,3,1,1,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,3,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,4,2,2,2,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,4,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,5,3,3,3,3,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,5,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,6,4,4,4,4,4,19,6,6,6,6,6,6,6,6,6,19,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6,19,19,19,19,19,19,6,6,6,6,6,6,6,6
5,5,5,5,5,5,6,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,20,5,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20,5,5,5,5,5,5,20,20,20,20,20,20,20,20
21,21,21,21,21,21,21,7,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,8,21,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8,21,21,21,21,21,21,21,21,8,8,8,8,8,8
7,7,7,7,7,7,7,7,8,9,9,9,9,9,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,7,7,7,7,7,22,9,9,9,9,9,7,7,7,7,22,7,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,22,22,22,22,22,22,7,7,7,7,7,7,7,7,22,22,22,22,22,22
8,8,8,8,8,8,8,8,8,9,10,10,10,10,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,8,23,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
