VF,giff,num_vehicles,alpha,beta,delta,alpha_d,Fairness Type (GIFF),SR,Metric (P),Metric (D),pair SR mean,pair SR min,source SR mean,source SR min,driver mean,driver min
pathnn,FALSE,1000,0,0,0,0,variance,0.806317914,-0.110627757,-18.393751,0.434040874,0,0.694808004,0.400874636,51.943,37
pathnn,FALSE,1000,0,0.1,0,0,variance,0.811176653,-0.103327189,-21.018464,0.454134961,0,0.707220708,0.443148688,52.256,36
pathnn,FALSE,1000,0,0.2,0,0,variance,0.815461037,-0.097617584,-20.288976,0.469741177,0,0.718052019,0.447521866,52.532,39
pathnn,FALSE,1000,0,1,0,0,variance,0.824837007,-0.056835271,-21.531504,0.558039697,0.090909091,0.745380558,0.549562682,53.136,39
pathnn,FALSE,1000,0,0.5,0,0,variance,0.819217634,-0.086074384,-20.046924,0.498511363,0,0.724157894,0.45335277,52.774,39
pathnn,FALSE,1000,0,0.1,0,0,variance,0.811176653,-0.103327189,-21.018464,0.454134961,0,0.707220708,0.443148688,52.256,36
pathnn,FALSE,1000,0,5,0,0,variance,0.82182552,-0.017787639,-29.896636,0.667509563,0.363636364,0.76701604,0.620520028,52.942,35
pathnn,FALSE,1000,0,2,0,0,variance,0.825069854,-0.033995367,-24.596199,0.616916605,0.181818182,0.759617151,0.600843289,53.151,35
pathnn,FALSE,1000,0,5,0,0,variance,0.82182552,-0.017787639,-29.896636,0.667509563,0.363636364,0.76701604,0.620520028,52.942,35
pathnn,FALSE,1000,0,5,0,0,variance,0.82182552,-0.017787639,-29.896636,0.667509563,0.363636364,0.76701604,0.620520028,52.942,35
pathnn,FALSE,1000,0,10,0,0,variance,0.81145607,-0.012441597,-33.154924,0.695333401,0.434782609,0.771576196,0.605059733,52.274,34
pathnn,FALSE,1000,0,20,0,0,variance,0.802483701,-0.009955425,-33.691584,0.712890058,0.411764706,0.767773147,0.600140548,51.696,32
pathnn,FALSE,1000,0,50,0,0,variance,0.795839801,-0.009736756,-33.154176,0.714484779,0.4375,0.765111091,0.609276177,51.268,32
pathnn,FALSE,1000,0,100,0,0,variance,0.796072648,-0.010929294,-33.190911,0.705045991,0.4375,0.759323513,0.595221363,51.283,30
pathnn,FALSE,1000,0,0.2,0,0,variance,0.815461037,-0.097617584,-20.288976,0.469741177,0,0.718052019,0.447521866,52.532,39
pathnn,FALSE,1000,1,0,0,0,variance,0.806317914,-0.110627757,-18.393751,0.434040874,0,0.694808004,0.400874636,51.943,37
pathnn,FALSE,1000,1,0.1,0,0,variance,0.802250854,-0.10148709,-19.117239,0.446126879,0,0.697993932,0.45335277,51.681,38
pathnn,FALSE,1000,1,0.1,0,0,variance,0.802250854,-0.10148709,-19.117239,0.446126879,0,0.697993932,0.45335277,51.681,38
pathnn,FALSE,1000,1,0.2,0,0,variance,0.795280969,-0.093732957,-20.524176,0.450721019,0,0.691911096,0.412536443,51.232,37
pathnn,FALSE,1000,0,0.5,0,0,variance,0.819217634,-0.086074384,-20.046924,0.498511363,0,0.724157894,0.45335277,52.774,39
